learner_id,archetype,event_index,question_id,concept_id,difficulty,difficulty_score,knowledge_before,fatigue_before,correct,guessed,total_response_time,reading_time,time_after_last_interaction,attempts,skip,option_changes,mouse_distance,mouse_speed,hover_time,typing_speed,backspaces,delete_frequency,pause_duration,question_number,session_duration,tab_switches
sim-00001,steady,1,heaps-item-1,heaps,easy,1,0.294627,0.0,True,False,24.003,6.136,1.627,1,False,2,456.806,48.034,17.867,32.068,2,1,0,1,24.003,1
sim-00001,steady,2,advanced_ds-item-2,advanced_ds,easy,2,0.326154,0.014723,True,False,27.407,10.651,0.17,1,False,1,1183.929,52.749,16.756,32.068,1,0,0.404,2,54.815,0
sim-00001,steady,3,arrays_and_lists-item-3,arrays_and_lists,easy,3,0.354861,0.030783,True,False,25.188,8.476,0.924,1,False,2,1128.16,43.984,16.712,32.068,1,2,0.659,3,75.564,0
sim-00001,steady,4,indexing_optimization-item-4,indexing_optimization,medium,4,0.380998,0.048183,False,False,29.53,7.601,1.186,1,False,2,598.511,13.963,21.929,32.068,1,0,0,4,118.12,0
sim-00001,steady,5,congestion_control_net-item-5,congestion_control_net,medium,5,0.349377,0.066921,False,False,45.299,11.321,1.381,1,False,1,1236.151,67.331,33.978,32.068,1,0,0.358,5,226.494,0
sim-00001,steady,6,synchronization-item-6,synchronization,medium,6,0.320586,0.086997,False,False,46.201,15.829,1.02,1,False,1,1244.349,56.477,30.372,32.068,1,0,0.752,6,277.207,1
sim-00001,steady,7,graph_algorithms-item-7,graph_algorithms,medium,7,0.294371,0.108411,False,False,54.294,17.414,1.787,1,False,2,1662.358,18.51,36.88,32.068,0,4,1.386,7,380.057,0
sim-00001,steady,8,application_protocols-item-8,application_protocols,hard,8,0.270503,0.131164,False,False,55.689,19.037,1.682,1,False,2,1361.946,69.389,36.652,32.068,2,2,0.953,8,445.513,0
sim-00001,steady,9,graphs-item-9,graphs,hard,9,0.24877,0.155256,False,True,60.341,19.702,1.377,1,False,1,1352.941,27.643,40.639,32.068,2,0,1.73,9,543.067,0
sim-00001,steady,10,concurrency_control-item-10,concurrency_control,hard,10,0.228981,0.180686,False,False,77.001,28.867,2.115,1,False,1,1105.88,11.344,48.134,32.068,1,1,2.177,10,770.012,1
sim-00001,steady,11,advanced_algorithms-item-11,advanced_algorithms,easy,1,0.210964,0.207454,False,False,23.481,8.777,1.374,1,False,2,353.508,20.996,14.704,32.068,3,0,2.128,11,258.294,1
sim-00001,steady,12,routing-item-12,routing,easy,2,0.194559,0.222176,True,False,33.077,10.237,1.638,1,False,2,539.305,15.847,22.84,32.068,4,1,2.387,12,396.926,1
sim-00001,steady,13,design_patterns-item-13,design_patterns,easy,3,0.235041,0.238237,False,False,31.003,10.881,2.786,1,False,2,674.95,16.744,20.122,32.068,4,0,1.72,13,403.04,1
sim-00001,steady,14,dynamic_programming-item-14,dynamic_programming,medium,4,0.216481,0.255637,True,False,38.92,13.548,3.117,1,False,3,590.782,37.235,25.372,32.068,3,2,2.201,14,544.874,1
sim-00001,steady,15,memory_management-item-15,memory_management,medium,5,0.255002,0.274374,False,False,42.488,13.122,2.169,2,False,2,1249.854,58.397,29.366,32.068,1,1,3.041,15,637.316,1
sim-00001,steady,16,memory_management-item-16,memory_management,medium,6,0.234656,0.294451,False,False,57.38,21.078,2.874,1,False,2,802.733,24.244,36.301,32.068,4,1,2.296,16,918.075,1
sim-00001,steady,17,normalization-item-17,normalization,medium,7,0.21613,0.315865,False,False,59.166,21.649,2.073,2,False,3,813.088,7.914,37.517,32.068,3,2,2.479,17,1005.829,0
sim-00001,steady,18,distributed_databases-item-18,distributed_databases,hard,8,0.199263,0.338618,False,False,69.864,18.662,2.009,1,False,2,2013.076,50.474,51.202,32.068,2,2,2.334,18,1257.551,0
sim-00001,steady,19,dynamic_programming-item-19,dynamic_programming,hard,9,0.183905,0.362709,False,False,69.708,18.206,4.087,1,False,3,998.933,18.758,51.502,32.068,3,3,2.568,19,1324.461,1
sim-00001,steady,20,sorting_searching-item-20,sorting_searching,hard,10,0.169921,0.388139,False,False,73.161,21.088,2.867,1,False,3,1275.657,13.467,52.073,32.068,3,2,3.579,20,1463.218,1
sim-00001,steady,21,sorting_searching-item-21,sorting_searching,easy,1,0.157189,0.414908,False,False,40.182,14.249,2.755,1,False,3,367.916,19.95,25.932,32.068,5,2,2.382,21,843.815,1
sim-00001,steady,22,graph_algorithms-item-22,graph_algorithms,easy,2,0.145596,0.42963,True,False,37.251,14.085,3.16,1,False,2,498.427,36.841,23.167,32.068,3,2,3.967,22,819.526,0
sim-00001,steady,23,routing-item-23,routing,easy,3,0.190459,0.445691,True,False,50.162,14.416,3.784,1,False,3,297.117,17.556,35.746,32.068,3,4,2.68,23,1153.725,1
sim-00001,steady,24,ip_addressing-item-24,ip_addressing,medium,4,0.231308,0.46309,False,False,44.94,16.446,4.661,1,False,2,634.419,12.733,28.494,32.068,1,2,3.329,24,1078.559,1
sim-00001,steady,25,synchronization-item-25,synchronization,medium,5,0.213083,0.481828,False,False,54.555,18.251,2.996,1,True,2,289.811,11.161,36.304,32.068,3,1,3.797,25,1363.876,1
sim-00001,steady,26,network_security-item-26,network_security,medium,6,0.196488,0.501904,False,False,61.588,18.764,3.697,1,True,3,355.74,7.081,42.824,32.068,4,3,3.835,26,1601.283,0
sim-00001,steady,27,heaps-item-27,heaps,medium,7,0.181378,0.523319,False,False,68.881,25.003,2.42,1,False,3,367.258,9.46,43.878,32.068,4,3,3.722,27,1859.793,0
sim-00001,steady,28,transactions_acid-item-28,transactions_acid,hard,8,0.16762,0.546072,False,False,74.21,19.986,3.255,1,True,3,245.802,7.315,54.224,32.068,4,2,3.966,28,2077.868,1
sim-00001,steady,29,advanced_algorithms-item-29,advanced_algorithms,hard,9,0.155094,0.570163,False,True,72.665,27.809,3.86,1,True,3,333.668,12.157,44.856,32.068,3,1,3.684,29,2107.299,1
sim-00001,steady,30,greedy_algorithms-item-30,greedy_algorithms,hard,10,0.143688,0.595593,False,False,83.147,23.144,4.235,2,True,3,347.662,2.643,60.003,32.068,4,4,4.076,30,2494.408,1
sim-00002,rapid,1,greedy_algorithms-item-1,greedy_algorithms,easy,1,0.70182,0.0,False,False,18.691,4.792,1.15,1,False,1,605.635,40.969,13.899,50.341,1,0,0.833,1,18.691,0
sim-00002,rapid,2,network_fundamentals-item-2,network_fundamentals,easy,2,0.626993,0.010406,True,False,26.929,7.174,1.606,1,False,1,1099.697,33.56,19.756,50.341,0,1,0.78,2,53.859,0
