iter	Logloss
0	0.6716597839
1	0.6520488197
2	0.634182212
3	0.6188426998
4	0.6050206717
5	0.5940768786
6	0.5827998692
7	0.5715954027
8	0.5631039002
9	0.5535971286
10	0.5454361153
11	0.5375553281
12	0.5316003885
13	0.5250273727
14	0.519028167
15	0.5131549236
16	0.5084352141
17	0.5038317811
18	0.4992392993
19	0.4950284428
20	0.4909733319
21	0.4880958764
22	0.4845737776
23	0.4815654946
24	0.4785677784
25	0.4757021762
26	0.4736187174
27	0.4715238967
28	0.469433878
29	0.4677624809
30	0.4655169573
31	0.4633435531
32	0.4619844408
33	0.460322371
34	0.458739763
35	0.45764126
36	0.4559553452
37	0.4545017216
38	0.4534086153
39	0.4526727781
40	0.4519501754
41	0.4510831528
42	0.4501416712
43	0.4493942289
44	0.4483251051
45	0.4476647109
46	0.4468486407
47	0.4459365566
48	0.4451172802
49	0.4446178112
50	0.4437534726
51	0.4433200669
52	0.4427422012
53	0.4422408246
54	0.4419560133
55	0.4413993437
56	0.4408591471
57	0.4402045881
58	0.4397987458
59	0.4394255017
60	0.4390604709
61	0.4387397438
62	0.4383964754
63	0.4380483519
64	0.4377542999
65	0.4373704794
66	0.4369651419
67	0.4365669589
68	0.4361502511
69	0.4358380225
70	0.4356141829
71	0.4352022654
72	0.4349146927
73	0.4346157472
74	0.4342611724
75	0.4339987823
76	0.4335609589
77	0.4333466783
78	0.4330285471
79	0.4327562556
80	0.4324460405
81	0.4321649615
82	0.4318930727
83	0.4317125445
84	0.4315025927
85	0.431279376
86	0.4310198743
87	0.4308436249
88	0.4305662139
89	0.4303124342
90	0.4300498674
91	0.4298462531
92	0.4296562749
93	0.4295873261
94	0.4294048954
95	0.4290159392
96	0.4289004419
97	0.4286060945
98	0.4284045651
99	0.4282215509
100	0.428083671
101	0.427865681
102	0.4276667162
103	0.4275591104
104	0.4274422054
105	0.4272215693
106	0.4269760613
107	0.4266664258
108	0.4265038288
109	0.4264191866
110	0.4261391178
111	0.4259242826
112	0.4257432317
113	0.4256262603
114	0.4253568711
115	0.4251568735
116	0.4249320408
117	0.4247195521
118	0.4246096049
119	0.424479006
