iter	Passed	Remaining
0	60	7160
1	60	3583
2	61	2390
3	61	1794
4	62	1434
5	62	1195
6	63	1024
7	63	895
8	64	795
9	65	715
10	65	650
11	66	596
12	66	549
13	67	510
14	67	475
15	68	444
16	68	417
17	69	393
18	70	372
19	70	353
20	71	335
21	71	319
22	72	304
23	72	291
24	73	278
25	73	267
26	74	256
27	75	246
28	75	237
29	76	228
30	77	222
31	77	214
32	78	207
33	79	200
34	79	193
35	80	187
36	80	181
37	81	175
38	82	170
39	82	165
40	83	160
41	83	155
42	84	151
43	84	146
44	85	142
45	85	138
46	86	134
47	87	131
48	89	128
49	89	125
50	90	122
51	91	119
52	92	117
53	93	114
54	94	112
55	95	109
56	96	106
57	97	104
58	99	102
59	100	100
60	100	97
61	101	94
62	101	92
63	102	89
64	102	87
65	103	84
66	104	82
67	104	79
68	105	77
69	105	75
70	106	73
71	106	71
72	107	68
73	107	66
74	108	64
75	108	62
76	109	61
77	109	59
78	110	57
79	110	55
80	111	53
81	111	51
82	112	50
83	112	48
84	113	46
85	113	45
86	114	43
87	114	41
88	115	40
89	115	38
90	116	37
91	117	35
92	117	34
93	118	32
94	118	31
95	119	29
96	119	28
97	120	26
98	120	25
99	121	24
100	121	22
101	122	21
102	122	20
103	123	18
104	123	17
105	124	16
106	124	15
107	125	13
108	125	12
109	126	11
110	126	10
111	127	9
112	127	7
113	128	6
114	128	5
115	129	4
116	129	3
117	130	2
118	130	1
119	131	0
