learner_id,archetype,event_index,question_id,concept_id,difficulty,difficulty_score,knowledge_before,fatigue_before,correct,guessed,total_response_time,reading_time,time_after_last_interaction,attempts,skip,option_changes,mouse_distance,mouse_speed,hover_time,typing_speed,backspaces,delete_frequency,pause_duration,question_number,session_duration,tab_switches
sim-00001,steady,1,concept-1-item-1,concept-1,easy,1,0.195363,0.0,False,False,23.405,8.679,0.875,1,False,2,855.709,20.549,14.726,33.571,1,2,0.768,1,23.405,0
sim-00001,steady,2,concept-1-item-2,concept-1,easy,2,0.186061,0.019639,True,False,24.94,9.551,0.76,1,False,1,718.944,60.926,15.389,33.571,2,1,0.917,2,49.879,0
sim-00001,steady,3,concept-2-item-3,concept-2,easy,3,0.239735,0.041063,False,False,33.752,10.903,0.165,1,False,1,1039.265,43.731,22.849,33.571,2,1,0.529,3,101.256,0
sim-00001,steady,4,concept-2-item-4,concept-2,medium,4,0.227238,0.064273,True,False,32.97,10.465,1.647,1,False,2,849.276,57.766,22.505,33.571,2,2,0.946,4,131.88,1
sim-00001,steady,5,concept-3-item-5,concept-3,medium,5,0.277946,0.089268,True,False,49.149,13.279,0.808,1,False,2,1262.824,29.156,35.87,33.571,2,0,0.729,5,245.744,1
sim-00001,steady,6,concept-3-item-6,concept-3,medium,6,0.325002,0.116048,False,False,45.849,11.694,1.226,1,False,2,1505.252,58.716,34.155,33.571,3,1,0.83,6,275.095,0
sim-00002,rapid,1,concept-1-item-1,concept-1,easy,1,0.491615,0.0,True,False,20.348,7.42,0.299,1,False,0,811.874,102.956,12.928,60.584,1,0,0,1,20.348,0
sim-00002,rapid,2,concept-1-item-2,concept-1,easy,2,0.560738,0.033544,True,False,24.09,6.215,0.041,1,False,1,792.777,35.562,17.876,60.584,1,2,1.902,2,48.181,0
sim-00002,rapid,3,concept-2-item-3,concept-2,easy,3,0.624159,0.070138,True,False,26.307,10.37,1.0,1,False,1,836.946,86.297,15.938,60.584,3,3,0.862,3,78.922,0
sim-00002,rapid,4,concept-2-item-4,concept-2,medium,4,0.682347,0.109781,True,False,29.586,9.966,1.839,1,False,1,1566.192,83.626,19.62,60.584,2,0,1.872,4,118.345,0
sim-00002,rapid,5,concept-3-item-5,concept-3,medium,5,0.735736,0.152474,True,False,41.705,12.071,0.867,1,False,1,1780.247,96.936,29.634,60.584,0,0,1.325,5,208.523,0
sim-00002,rapid,6,concept-3-item-6,concept-3,medium,6,0.78472,0.198216,True,False,49.718,18.103,2.066,1,False,2,1081.302,32.934,31.615,60.584,4,2,1.84,6,298.31,1
sim-00003,careful,1,concept-1-item-1,concept-1,easy,1,0.423991,0.0,False,False,19.247,4.751,2.358,1,False,1,428.96,51.945,14.497,37.573,2,1,0,1,19.247,0
sim-00003,careful,2,concept-1-item-2,concept-1,easy,2,0.408107,0.026952,True,False,17.45,4.911,0.729,1,False,2,488.91,41.216,12.539,37.573,3,3,0,2,34.901,0
sim-00003,careful,3,concept-2-item-3,concept-2,easy,3,0.448954,0.056354,True,False,24.242,7.953,0,1,False,1,740.538,53.61,16.289,37.573,2,1,0.812,3,72.725,0
sim-00003,careful,4,concept-2-item-4,concept-2,medium,4,0.488012,0.088207,False,True,37.523,10.991,1.72,2,False,2,995.178,38.916,26.532,37.573,3,0,1.541,4,150.093,0
sim-00003,careful,5,concept-3-item-5,concept-3,medium,5,0.469325,0.122509,False,False,40.586,11.087,1.726,1,False,2,714.269,54.543,29.499,37.573,4,2,2.018,5,202.931,0
sim-00003,careful,6,concept-3-item-6,concept-3,medium,6,0.451457,0.159262,False,False,53.107,20.939,1.162,1,False,2,1202.316,50.532,32.169,37.573,3,1,1.433,6,318.644,1
sim-00004,fatigable,1,concept-1-item-1,concept-1,easy,1,0.561669,0.0,True,False,15.374,4.1,0.555,1,False,1,420.248,47.84,11.274,37.173,0,1,0.47,1,15.374,0
sim-00004,fatigable,2,concept-1-item-2,concept-1,easy,2,0.527805,0.07846,True,False,30.0,8.792,1.449,1,False,2,366.908,35.039,21.208,37.173,1,1,0.851,2,60.0,1
sim-00004,fatigable,3,concept-2-item-3,concept-2,easy,3,0.499487,0.164052,True,False,40.281,10.891,2.268,1,False,2,951.706,38.119,29.39,37.173,2,1,2.174,3,120.843,1
sim-00004,fatigable,4,concept-2-item-4,concept-2,medium,4,0.475806,0.256778,False,False,41.815,12.248,1.933,1,False,2,783.866,36.839,29.567,37.173,1,1,3.082,4,167.26,1
sim-00004,fatigable,5,concept-3-item-5,concept-3,medium,5,0.400412,0.356635,False,False,50.956,15.576,3.505,1,False,3,274.36,8.326,35.38,37.173,5,3,3.226,5,254.78,1
sim-00004,fatigable,6,concept-3-item-6,concept-3,medium,6,0.337366,0.463626,False,False,60.475,17.358,2.975,2,True,2,3.024,0.023,43.118,37.173,4,1,4.294,6,362.853,1
sim-00005,steady,1,concept-1-item-1,concept-1,easy,1,0.327058,0.0,True,False,22.225,6.275,0.562,1,False,1,762.772,50.271,15.95,31.339,2,0,0.891,1,22.225,0
sim-00005,steady,2,concept-1-item-2,concept-1,easy,2,0.355472,0.024668,True,False,26.221,9.461,0.521,1,False,1,963.334,66.725,16.759,31.339,4,0,0,2,52.441,0
sim-00005,steady,3,concept-2-item-3,concept-2,easy,3,0.379878,0.051578,False,False,26.653,7.795,0.98,1,False,1,621.942,16.0,18.858,31.339,3,0,1.148,3,79.96,0
sim-00005,steady,4,concept-2-item-4,concept-2,medium,4,0.332941,0.080731,True,False,30.458,9.314,1.466,1,False,1,622.911,57.32,21.144,31.339,1,0,1.171,4,121.833,0
sim-00005,steady,5,concept-3-item-5,concept-3,medium,5,0.360525,0.112126,True,False,47.638,17.998,0.524,1,False,1,845.058,30.484,29.639,31.339,2,0,1.253,5,238.189,1
sim-00005,steady,6,concept-3-item-6,concept-3,medium,6,0.384218,0.145764,True,False,49.8,16.315,1.183,1,False,1,925.114,45.539,33.486,31.339,1,1,2.196,6,298.802,1
sim-00006,rapid,1,concept-1-item-1,concept-1,easy,1,0.595838,0.0,True,False,16.76,6.32,1.161,1,False,1,737.791,31.258,10.44,49.113,2,0,0,1,16.76,0
sim-00006,rapid,2,concept-1-item-2,concept-1,easy,2,0.619327,0.023273,True,False,24.893,6.839,1.013,1,False,1,822.226,93.477,18.053,49.113,2,1,0.751,2,49.785,0
sim-00006,rapid,3,concept-2-item-3,concept-2,easy,3,0.63943,0.048663,True,False,27.727,7.118,0.394,1,False,1,1011.288,39.094,20.609,49.113,2,1,1.296,3,83.181,0
sim-00006,rapid,4,concept-2-item-4,concept-2,medium,4,0.656637,0.076168,True,False,36.672,10.253,1.161,1,False,1,1527.296,21.272,26.418,49.113,2,0,0.885,4,146.686,0
sim-00006,rapid,5,concept-3-item-5,concept-3,medium,5,0.671364,0.105789,True,False,36.07,13.42,0.582,1,False,1,1322.86,33.431,22.65,49.113,2,0,1.961,5,180.348,0
sim-00006,rapid,6,concept-3-item-6,concept-3,medium,6,0.683969,0.137525,True,False,44.095,12.698,1.846,1,False,1,1215.05,39.822,31.397,49.113,0,0,2.047,6,264.57,0
sim-00007,careful,1,concept-1-item-1,concept-1,easy,1,0.349744,0.0,True,False,19.695,4.859,0.267,1,False,2,1042.672,90.681,14.836,26.396,3,1,0.507,1,19.695,0
sim-00007,careful,2,concept-1-item-2,concept-1,easy,2,0.371189,0.022187,True,False,19.972,7.693,1.267,1,False,1,763.505,71.721,12.279,26.396,3,0,0.515,2,39.945,0
sim-00007,careful,3,concept-2-item-3,concept-2,easy,3,0.390296,0.046391,True,False,27.816,10.87,0.951,1,False,2,647.746,35.605,16.946,26.396,2,1,0.486,3,83.447,0
sim-00007,careful,4,concept-2-item-4,concept-2,medium,4,0.407319,0.072613,False,False,37.391,11.729,1.113,1,False,1,1032.175,35.316,25.662,26.396,3,2,1.786,4,149.565,0
sim-00007,careful,5,concept-3-item-5,concept-3,medium,5,0.365795,0.100851,True,False,42.493,13.647,0.911,1,False,2,2119.069,93.878,28.846,26.396,3,2,1.859,5,212.467,0
sim-00007,careful,6,concept-3-item-6,concept-3,medium,6,0.38549,0.131106,True,False,55.152,14.418,0.446,1,False,2,1097.697,74.757,40.735,26.396,2,1,1.714,6,330.913,1
sim-00008,fatigable,1,concept-1-item-1,concept-1,easy,1,0.316986,0.0,True,False,18.302,4.447,0,1,False,1,444.979,21.187,13.855,45.365,5,1,0,1,18.302,0
sim-00008,fatigable,2,concept-1-item-2,concept-1,easy,2,0.329948,0.068384,True,False,22.891,6.287,0.923,1,False,1,385.272,8.005,16.604,45.365,1,1,1.252,2,45.782,1
sim-00008,fatigable,3,concept-2-item-3,concept-2,easy,3,0.341023,0.142986,False,True,36.191,10.006,1.064,2,False,2,719.277,19.088,26.185,45.365,2,3,1.551,3,108.574,1
sim-00008,fatigable,4,concept-2-item-4,concept-2,medium,4,0.294144,0.223804,False,False,40.477,13.128,1.535,1,False,2,583.501,40.034,27.349,45.365,2,2,1.962,4,161.909,1
sim-00008,fatigable,5,concept-3-item-5,concept-3,medium,5,0.254091,0.310839,True,False,49.62,15.288,2.666,1,True,2,51.203,0.616,34.331,45.365,2,1,2.021,5,248.098,1
sim-00008,fatigable,6,concept-3-item-6,concept-3,medium,6,0.276213,0.40409,True,False,54.745,13.969,3.876,1,False,3,379.525,13.496,40.776,45.365,6,4,3.881,6,328.469,1
